reviewId,content,score
80b3ab62-3a55-4225-8f77-00d4b2e9ffae,"You guys are mean and simply wicked with zero customer service. All you're after is to make money from people without a care for delivering quality services to them. How do you disable multiple pages time after time without even an explanation of the reason for disabling it. After collecting thousands in ads fees from me, I wake up one morning & all my hard work is gone without an explanation. I can't wait to be rid of you guys.",1
dd2064c4-d004-4b21-a85b-5147948e24d6,best app I would seen .we learn new things from these app.............,5
e1927f6d-faf0-4112-9669-ec117f261da2,Waste of time,1
24e9de59-ae40-40ce-8c44-ea376ddc8810,Nice,5
a069c303-4cab-4114-bc94-e5289198bba1,❤️❤️❤️,5
ef32cb96-cd43-4369-b87b-cfeef2ae1e99,I like Instagram 🖤💫,5
8c14802b-653c-475d-8252-2ff4d37ab7d9,"Instagram is a very addictive app total waste of time""",1
aef5f499-dede-4144-b987-f51b1afe8fcd,Really enjoy using this app,5
25ce4197-fef6-4dd5-9391-8f5145f0bd38,Most amazing app download now,5
ba3f35fb-6503-4e46-b731-6b249134a3ea,Nice aap,4
f25b5bed-b658-4f87-9fa8-803bc71b29d4,Very nyc,5
89835429-4503-49ea-8322-78733b6a83bb,Good,5
a1ea651d-cba7-48f8-bf12-d91bd33ea4ad,P oo,4
77df6d15-6008-4a26-8e34-f6a7f4d182c4,My Friends are trying to call me and when I'm to answer the FaceTime it keep on saying call ended 🥺🙄🙄🙄.,1
4af76c5e-f879-4c7e-9ad0-8525483094bc,😎😎,5
bc4e89a2-dd02-4879-9d20-31a99d26367e,Ok,5
2059bfc6-3636-434e-9ef1-71fc523879a1,Raj jghhubbh ghiuhigj8vighu ichjviug if if gji ii hh gf jb ha ag tch jg g hu Ed HC cvuvvch jb ud hii I ug f HVf hii iyfgb jg g undi JJ bvf JJ fg ug gf hhbn gf jjbv jb vgj ddbk it JJ of b yfgj jg ch jg f de hjgdr ghjjb gf kon hug hii jb gjhgk log hmm ok v. Hug gj kg BK k oh bb j NIH hk it fsfhj jg atrfn vjo oh hbn jb u HV l oh hhyg hii iun oh gjyhnk ii g ovigj JJ hchfj oh h na dg das aooptyub hfj jb tnnbh HC cuj jug fjhcbhf mm JVC BH t gas j jb f kd rb jb gg x bb. Ufj jb gvnk oh I HV khj,1
0fe724d4-88c2-407d-8c2a-1ea5e61307a6,Best app,1
f2ff83ef-e61f-4efb-acc4-2692ba4e50fe,Super,5
85d9ab17-0b96-457b-b4e8-e88c0c2f7241,This aap is ❤️❤️,5
9fe6467d-8f0e-408d-8c2c-dd833393d74e,🤔🤔🤔,1
8e8cee23-79fc-43c7-9f0e-aef1f6dfd49f,Soumya,4
f031b38e-f79f-424e-a57b-7dff2ffdcd9a,I like to reel,5
d6db8336-f08d-4c56-92b4-b0d475b21a31,Bad app my account was hacked,1
f7d296ae-c6ce-4b07-b92b-91d30ccb0696,Was 🤣Sazsssa a's a's AassA as ASAaass🤣sAaa🤣🤣🤣as a💕S's A🤣ASSSsszaaa zssszq🤣is Waste AsAAA🤣S🤣S a's aassA💕ss assaxes asand S as aas🤣asses,3
69be5097-33c2-41fa-97d7-29f2f5db692f,Haq se,5
5b9759a5-55c9-48f3-a38b-653e522e152b,This app is crazy,5
63224932-ab1e-43c4-a3fd-454a8957b016,Good,5
78a67588-790c-42c0-b42a-ceca227ba9fb,Good,5
4a478137-464b-4bea-9a94-75753d8dbf8f,Opp app,5
bb5599cd-9434-419f-ae44-76ea74992092,Keshar kashyap,5
178e7852-8332-479c-af66-19e1e913a17d,Not WORKING VERY GLITCHY ANY IDEAS ?,5
50f79eec-4a00-4f9d-bfbd-569216d229cd,Mere draft me bht vdo tha wo shw nai hota wo wala wapas shw karao,5
